"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Sales volume New build","Pivotable date"
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-03,,quarterly,,1971-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-03,,quarterly,,1971-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-04,,quarterly,,1971-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-04,,quarterly,,1971-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-05,,quarterly,,1971-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-05,,quarterly,,1971-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-06,,quarterly,,1971-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-06,,quarterly,,1971-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-07,,quarterly,,1971-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-07,,quarterly,,1971-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-08,,quarterly,,1971-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-08,,quarterly,,1971-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-09,,quarterly,,1971-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-09,,quarterly,,1971-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-10,,quarterly,,1971-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-10,,quarterly,,1971-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-11,,quarterly,,1971-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-11,,quarterly,,1971-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-12,,quarterly,,1971-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-12,,quarterly,,1971-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-01,,quarterly,,1972-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-01,,quarterly,,1972-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-02,,quarterly,,1972-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-02,,quarterly,,1972-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-03,,quarterly,,1972-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-03,,quarterly,,1972-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-04,,quarterly,,1972-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-04,,quarterly,,1972-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-05,,quarterly,,1972-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-05,,quarterly,,1972-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-06,,quarterly,,1972-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-06,,quarterly,,1972-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-07,,quarterly,,1972-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-07,,quarterly,,1972-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-08,,quarterly,,1972-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-08,,quarterly,,1972-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-09,,quarterly,,1972-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-09,,quarterly,,1972-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-10,,quarterly,,1972-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-10,,quarterly,,1972-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-11,,quarterly,,1972-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-11,,quarterly,,1972-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-12,,quarterly,,1972-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-12,,quarterly,,1972-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-01,,quarterly,,1973-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-01,,quarterly,,1973-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-02,,quarterly,,1973-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-02,,quarterly,,1973-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-03,,quarterly,,1973-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-03,,quarterly,,1973-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-04,,quarterly,,1973-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-04,,quarterly,,1973-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-05,,quarterly,,1973-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-05,,quarterly,,1973-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-06,,quarterly,,1973-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-06,,quarterly,,1973-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-07,,quarterly,,1973-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-07,,quarterly,,1973-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-08,,quarterly,,1973-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-08,,quarterly,,1973-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-09,,quarterly,,1973-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-09,,quarterly,,1973-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-10,,quarterly,,1973-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-10,,quarterly,,1973-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-11,,quarterly,,1973-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-11,,quarterly,,1973-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-12,,quarterly,,1973-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-12,,quarterly,,1973-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-01,,quarterly,,1974-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-01,,quarterly,,1974-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-02,,quarterly,,1974-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-02,,quarterly,,1974-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-03,,quarterly,,1974-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-03,,quarterly,,1974-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-04,,quarterly,,1974-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-04,,quarterly,,1974-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-05,,quarterly,,1974-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-05,,quarterly,,1974-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-06,,quarterly,,1974-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-06,,quarterly,,1974-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-07,,quarterly,,1974-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-07,,quarterly,,1974-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-08,,quarterly,,1974-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-08,,quarterly,,1974-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-09,,quarterly,,1974-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-09,,quarterly,,1974-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-10,,quarterly,,1974-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-10,,quarterly,,1974-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-11,,quarterly,,1974-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-11,,quarterly,,1974-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-12,,quarterly,,1974-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-12,,quarterly,,1974-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-01,,quarterly,,1975-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-01,,quarterly,,1975-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-02,,quarterly,,1975-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-02,,quarterly,,1975-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-03,,quarterly,,1975-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-03,,quarterly,,1975-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-04,,quarterly,,1975-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-04,,quarterly,,1975-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-05,,quarterly,,1975-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-05,,quarterly,,1975-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-06,,quarterly,,1975-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-06,,quarterly,,1975-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-07,,quarterly,,1975-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-07,,quarterly,,1975-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-08,,quarterly,,1975-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-08,,quarterly,,1975-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-09,,quarterly,,1975-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-09,,quarterly,,1975-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-10,,quarterly,,1975-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-10,,quarterly,,1975-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-11,,quarterly,,1975-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-11,,quarterly,,1975-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-12,,quarterly,,1975-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-12,,quarterly,,1975-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-01,,quarterly,,1976-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-01,,quarterly,,1976-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-02,,quarterly,,1976-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-02,,quarterly,,1976-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-03,,quarterly,,1976-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-03,,quarterly,,1976-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-04,,quarterly,,1976-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-04,,quarterly,,1976-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-05,,quarterly,,1976-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-05,,quarterly,,1976-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-06,,quarterly,,1976-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-06,,quarterly,,1976-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-07,,quarterly,,1976-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-07,,quarterly,,1976-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-08,,quarterly,,1976-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-08,,quarterly,,1976-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-09,,quarterly,,1976-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-09,,quarterly,,1976-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-10,,quarterly,,1976-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-10,,quarterly,,1976-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-11,,quarterly,,1976-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-11,,quarterly,,1976-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-12,,quarterly,,1976-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-12,,quarterly,,1976-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-01,,quarterly,,1977-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-01,,quarterly,,1977-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-02,,quarterly,,1977-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-02,,quarterly,,1977-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-03,,quarterly,,1977-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-03,,quarterly,,1977-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-04,,quarterly,,1977-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-04,,quarterly,,1977-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-05,,quarterly,,1977-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-05,,quarterly,,1977-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-06,,quarterly,,1977-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-06,,quarterly,,1977-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-07,,quarterly,,1977-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-07,,quarterly,,1977-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-08,,quarterly,,1977-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-08,,quarterly,,1977-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-09,,quarterly,,1977-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-09,,quarterly,,1977-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-10,,quarterly,,1977-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-10,,quarterly,,1977-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-11,,quarterly,,1977-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-11,,quarterly,,1977-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-12,,quarterly,,1977-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-12,,quarterly,,1977-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-01,,quarterly,,1978-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-01,,quarterly,,1978-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-02,,quarterly,,1978-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-02,,quarterly,,1978-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-03,,quarterly,,1978-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-03,,quarterly,,1978-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-04,,quarterly,,1978-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-04,,quarterly,,1978-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-05,,quarterly,,1978-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-05,,quarterly,,1978-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-06,,quarterly,,1978-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-06,,quarterly,,1978-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-07,,quarterly,,1978-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-07,,quarterly,,1978-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-08,,quarterly,,1978-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-08,,quarterly,,1978-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-09,,quarterly,,1978-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-09,,quarterly,,1978-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-10,,quarterly,,1978-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-10,,quarterly,,1978-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-11,,quarterly,,1978-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-11,,quarterly,,1978-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-12,,quarterly,,1978-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-12,,quarterly,,1978-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-01,,quarterly,,1979-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-01,,quarterly,,1979-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-02,,quarterly,,1979-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-02,,quarterly,,1979-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-03,,quarterly,,1979-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-03,,quarterly,,1979-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-04,,quarterly,,1979-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-04,,quarterly,,1979-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-05,,quarterly,,1979-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-05,,quarterly,,1979-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-06,,quarterly,,1979-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-06,,quarterly,,1979-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-07,,quarterly,,1979-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-07,,quarterly,,1979-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-08,,quarterly,,1979-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-08,,quarterly,,1979-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-09,,quarterly,,1979-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-09,,quarterly,,1979-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-10,,quarterly,,1979-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-10,,quarterly,,1979-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-11,,quarterly,,1979-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-11,,quarterly,,1979-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-12,,quarterly,,1979-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-12,,quarterly,,1979-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1980-01,,quarterly,,1980-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1980-01,,quarterly,,1980-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1980-02,,quarterly,,1980-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1980-02,,quarterly,,1980-02-01
